rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
7,6,0.00113742,0.299945,-0.00303532,-0.0230764,-0.006585,-0.00112791,-0.00390337,-0.00263724
8,6,-0.00172536,0.413992,0.00201492,0.00861734,-0.0307755,-0.000371015,-0.00654288,0.0012155
9,6,-0.00104116,0.367513,-0.00214012,0.0199085,-0.016005,0.00131064,0.000296891,0.00379651
10,6,-0.00104748,0.37666,0.0115057,-0.0203532,1.0513e-05,-0.00233916,6.9048e-05,-0.00187525
1,7,0.00391499,0.0867346,-0.00203716,0.00640166,0.0122152,0.000963069,0.00207484,0.000999654
2,7,-0.000759703,0.0582038,0.000915048,0.00766326,0.0147961,-0.0024678,-0.00111613,0.00357242
3,7,0.00619562,0.0774388,-0.0106203,0.0124493,-0.00798783,0.00228011,-0.0112765,-0.00438139
4,7,0.00586331,0.0581167,0.000280032,-0.00825321,-0.00362807,0.000381786,-0.00346268,-0.00234434
5,7,0.000182732,0.0897391,-0.0106097,0.0158497,0.000148965,-0.000588141,-0.00672128,-0.00159398
6,7,0.000639643,0.0988575,0.00916033,-0.00120945,-0.00181828,0.000789941,-0.0143582,0.00070609
7,7,0.0027611,0.101319,-0.00148625,-0.00755251,-0.0185799,-6.74875e-05,-0.00332724,0.00418084
8,7,-0.000435604,0.0843689,-0.00465166,0.00763834,0.00499724,0.00043833,0.000227962,0.00224596
9,7,-0.00427649,0.139807,-0.0206704,0.0153837,-0.0123943,-0.00246805,0.00432725,-0.000174104
10,7,0.000101528,0.0431049,-0.00924794,0.0237583,-0.0194368,0.000812377,0.00582788,-2.25787e-05
1,8,-0.000665046,0.381558,0.00623835,0.0071452,-0.00623511,-6.90177e-05,-0.00283784,0.00218008
2,8,-0.000869291,0.341344,0.00376143,-0.00380526,-0.0344313,-0.00175787,-0.00260892,0.00129819
3,8,0.00146759,0.368609,0.0015337,0.00123301,0.0056714,0.000611905,-0.00091731,-0.000910118
4,8,-0.00229151,0.360034,0.00130543,-0.00274711,0.0106048,-0.00161673,0.00357153,0.00018098
5,8,-0.000121647,0.3961,0.0105717,0.0122441,-0.00933125,-0.000269264,-0.000142278,0.00139036
6,8,-0.00154159,0.393577,0.000414703,-0.000484283,0.0283396,-5.54655e-05,-0.00435418,-0.00097846
7,8,0.000514112,0.343643,0.0117134,-0.00760847,-0.0151159,-0.00234193,-0.00083077,-0.0050102
8,8,0.0071293,0.444475,-0.00663121,0.0184168,-0.0157747,0.00238671,-0.00894301,0.00223647
9,8,-0.0046926,0.399138,-0.00163876,0.00526851,-0.0180397,0.00407391,-0.00338255,0.00259849
10,8,-0.00175617,0.362757,-0.00279015,-0.00428598,0.000182883,0.000196547,-0.00192878,-0.00115658
1,9,-0.000478253,0.255216,0.00820865,-0.0266899,0.00628354,-0.00166261,-0.0160184,-0.00233331
2,9,0.000510271,0.220056,0.00402373,0.00683892,0.0245245,-0.0011785,0.000623592,0.00101832
3,9,0.00246753,0.237849,-0.00203983,-0.0240105,-0.00250633,-0.00317154,0.000237149,0.000961639
4,9,-0.00102937,0.275774,-0.00158732,-0.012186,0.0125136,0.00249723,0.00358,0.00455909
5,9,0.00305846,0.173864,-0.000616768,-0.0183347,-0.000744172,-0.00187852,-0.00193447,0.00220118
6,9,0.00105079,0.265345,0.00488938,-0.00751351,0.00117081,-0.00296839,0.000396887,-0.000643841
